lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,28.0,35.0,31.0,32.0,33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36,0,0,1,0,0,0,0,36,30,1
28.0,35.0,31.0,32.0,33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41,0,0,0,1,0,0,0,41,31,1
35.0,31.0,32.0,33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41,0,1,0,0,0,0,0,41,1,2
31.0,32.0,33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37,0,0,0,0,0,1,0,37,2,2
32.0,33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37,0,0,0,0,0,0,1,37,3,2
33.0,37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37.0,37,0,0,0,0,1,0,0,37,4,2
37.0,35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37.0,37.0,38,1,0,0,0,0,0,0,38,5,2
35.0,37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37.0,37.0,38.0,41,0,0,1,0,0,0,0,41,6,2
37.0,35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37.0,37.0,38.0,41.0,39,0,0,0,1,0,0,0,39,7,2
35.0,32.0,34.0,40.0,35.0,41.0,38.0,29.0,36.0,39.0,39.0,33.0,30.0,42.0,39.0,33.0,37.0,31.0,37.0,36.0,41.0,41.0,37.0,37.0,37.0,38.0,41.0,39.0,41,0,1,0,0,0,0,0,41,8,2
