lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
3.0,7.0,7.0,2.0,1.0,3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2,0,1,0,0,0,0,0,2,28,3
7.0,7.0,2.0,1.0,3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17,0,0,0,0,1,0,0,17,31,3
7.0,2.0,1.0,3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13,0,0,0,1,0,0,0,13,3,4
2.0,1.0,3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3,0,0,0,0,0,0,1,3,6,4
1.0,3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5,0,0,1,0,0,0,0,5,9,4
3.0,3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5,0,0,0,0,0,1,0,5,12,4
3.0,6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5.0,5,1,0,0,0,0,0,0,5,15,4
6.0,4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5.0,5.0,4,0,1,0,0,0,0,0,4,18,4
4.0,7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5.0,5.0,4.0,4,0,0,0,0,1,0,0,4,21,4
7.0,2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5.0,5.0,4.0,4.0,5,0,0,0,1,0,0,0,5,24,4
2.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,8.0,12.0,6.0,8.0,13.0,5.0,7.0,8.0,2.0,4.0,2.0,17.0,13.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5,0,0,0,0,0,0,1,5,27,4
