lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,41.0,45.0,35.0,37.0,33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44,0,0,0,0,0,0,1,44,20,4
41.0,45.0,35.0,37.0,33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61,0,0,0,0,1,0,0,61,21,4
45.0,35.0,37.0,33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90,1,0,0,0,0,0,0,90,22,4
35.0,37.0,33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36,0,0,1,0,0,0,0,36,23,4
37.0,33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46,0,0,0,1,0,0,0,46,24,4
33.0,38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44,0,1,0,0,0,0,0,44,25,4
38.0,45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39,0,0,0,0,0,1,0,39,26,4
45.0,47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44,0,0,0,0,0,0,1,44,27,4
47.0,34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43,0,0,0,0,1,0,0,43,28,4
34.0,34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43.0,39,1,0,0,0,0,0,0,39,29,4
34.0,34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43.0,39.0,41,0,0,1,0,0,0,0,41,30,4
34.0,35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43.0,39.0,41.0,37,0,0,0,1,0,0,0,37,1,5
35.0,37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43.0,39.0,41.0,37.0,30,0,1,0,0,0,0,0,30,2,5
37.0,43.0,17.0,5.0,41.0,40.0,47.0,45.0,37.0,37.0,44.0,38.0,41.0,44.0,41.0,44.0,61.0,90.0,36.0,46.0,44.0,39.0,44.0,43.0,39.0,41.0,37.0,30.0,31,0,0,0,0,0,1,0,31,3,5
