lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,31.0,29.0,30.0,32.0,23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43,0,0,1,0,0,0,0,43,30,1
31.0,29.0,30.0,32.0,23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40,0,0,0,1,0,0,0,40,31,1
29.0,30.0,32.0,23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32,0,0,0,0,0,1,0,32,2,2
30.0,32.0,23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33,0,0,0,0,0,0,1,33,3,2
32.0,23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33,0,0,0,0,1,0,0,33,4,2
23.0,18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33.0,39,1,0,0,0,0,0,0,39,5,2
18.0,26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33.0,39.0,41,0,0,1,0,0,0,0,41,6,2
26.0,31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33.0,39.0,41.0,45,0,0,0,1,0,0,0,45,7,2
31.0,31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33.0,39.0,41.0,45.0,34,0,1,0,0,0,0,0,34,8,2
31.0,31.0,40.0,41.0,31.0,22.0,29.0,27.0,29.0,26.0,19.0,30.0,30.0,32.0,31.0,22.0,28.0,34.0,38.0,43.0,40.0,32.0,33.0,33.0,39.0,41.0,45.0,34.0,35,0,0,0,0,0,1,0,35,9,2
