lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41,0,0,0,0,0,0,1,41,2,3
18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32,0,0,0,0,1,0,0,32,3,3
31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38,1,0,0,0,0,0,0,38,4,3
27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43,0,0,1,0,0,0,0,43,5,3
40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41,0,0,0,1,0,0,0,41,6,3
63.0,54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41.0,39,0,1,0,0,0,0,0,39,7,3
54.0,57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41.0,39.0,38,0,0,0,0,0,1,0,38,8,3
57.0,61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41.0,39.0,38.0,38,0,0,0,0,0,0,1,38,9,3
61.0,120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41.0,39.0,38.0,38.0,41,0,0,0,0,1,0,0,41,10,3
120.0,108.0,35.0,9.0,9.0,37.0,41.0,40.0,41.0,36.0,36.0,41.0,40.0,37.0,33.0,41.0,44.0,38.0,30.0,41.0,32.0,38.0,43.0,41.0,39.0,38.0,38.0,41.0,37,1,0,0,0,0,0,0,37,11,3
