lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
35.0,36.0,34.0,33.0,40.0,42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42,0,0,1,0,0,0,0,42,30,1
36.0,34.0,33.0,40.0,42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37,0,0,0,1,0,0,0,37,31,1
34.0,33.0,40.0,42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41,0,1,0,0,0,0,0,41,1,2
33.0,40.0,42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38,0,0,0,0,0,1,0,38,2,2
40.0,42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39,0,0,0,0,0,0,1,39,3,2
42.0,39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41,0,0,0,0,1,0,0,41,4,2
39.0,35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42,1,0,0,0,0,0,0,42,5,2
35.0,37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43,0,0,1,0,0,0,0,43,6,2
37.0,40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44,0,0,0,1,0,0,0,44,7,2
40.0,41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42,0,1,0,0,0,0,0,42,8,2
41.0,41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47,0,0,0,0,0,1,0,47,9,2
41.0,44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47,0,0,0,0,0,0,1,47,10,2
44.0,38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44,0,0,0,0,1,0,0,44,11,2
38.0,43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40,1,0,0,0,0,0,0,40,12,2
43.0,41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44,0,0,1,0,0,0,0,44,13,2
41.0,38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44.0,41,0,0,0,1,0,0,0,41,14,2
38.0,39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44.0,41.0,37,0,1,0,0,0,0,0,37,15,2
39.0,41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44.0,41.0,37.0,38,0,0,0,0,0,1,0,38,16,2
41.0,43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44.0,41.0,37.0,38.0,42,0,0,0,0,0,0,1,42,17,2
43.0,45.0,46.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,37.0,41.0,38.0,39.0,41.0,42.0,43.0,44.0,42.0,47.0,47.0,44.0,40.0,44.0,41.0,37.0,38.0,42.0,38,0,0,0,0,1,0,0,38,18,2
