lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,30.0,36.0,39.0,40.0,44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37,0,0,1,0,0,0,0,37,30,1
30.0,36.0,39.0,40.0,44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45,0,0,0,1,0,0,0,45,31,1
36.0,39.0,40.0,44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44,0,1,0,0,0,0,0,44,1,2
39.0,40.0,44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39,0,0,0,0,0,1,0,39,2,2
40.0,44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37,0,0,0,0,0,0,1,37,3,2
44.0,44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37.0,37,0,0,0,0,1,0,0,37,4,2
44.0,35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37.0,37.0,36,1,0,0,0,0,0,0,36,5,2
35.0,37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37.0,37.0,36.0,35,0,0,1,0,0,0,0,35,6,2
37.0,34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37.0,37.0,36.0,35.0,35,0,0,0,1,0,0,0,35,7,2
34.0,31.0,36.0,33.0,36.0,34.0,35.0,36.0,35.0,38.0,38.0,39.0,42.0,42.0,38.0,40.0,35.0,35.0,31.0,37.0,45.0,44.0,39.0,37.0,37.0,36.0,35.0,35.0,39,0,1,0,0,0,0,0,39,8,2
