lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
38.0,36.0,35.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37,0,0,1,0,0,0,0,37,30,1
36.0,35.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39,0,0,0,1,0,0,0,39,31,1
35.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39,0,1,0,0,0,0,0,39,1,2
28.0,31.0,32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38,0,0,0,0,0,1,0,38,2,2
31.0,32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40,0,0,0,0,0,0,1,40,3,2
32.0,35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40.0,41,0,0,0,0,1,0,0,41,4,2
35.0,35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40.0,41.0,41,1,0,0,0,0,0,0,41,5,2
35.0,36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40.0,41.0,41.0,42,0,0,1,0,0,0,0,42,6,2
36.0,38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40.0,41.0,41.0,42.0,43,0,0,0,1,0,0,0,43,7,2
38.0,39.0,43.0,41.0,39.0,41.0,38.0,38.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,39.0,38.0,40.0,41.0,41.0,42.0,43.0,38,0,1,0,0,0,0,0,38,8,2
